time,code,class
2.571,Bite,1
2.571,Bite,1
2.571,Bite,1
3.11,Bite,1
3.11,Bite,1
3.11,Bite,1
4.19,Bite,1
4.19,Bite,1
4.19,Bite,1
4.999,Bite,1
4.999,Bite,1
4.999,Bite,1
5.54,Bite,1
5.54,Bite,1
5.54,Bite,1
6.351,Bite,1
6.351,Bite,1
6.351,Bite,1
7.16,Bite,1
7.16,Bite,1
7.16,Bite,1
7.97,Bite,1
7.97,Bite,1
7.97,Bite,1
8.78,Bite,1
8.78,Bite,1
8.78,Bite,1
9.59,Bite,1
9.59,Bite,1
9.59,Bite,1
10.401,Bite,1
10.401,Bite,1
10.401,Bite,1
11.21,Bite,1
11.21,Bite,1
11.21,Bite,1
12.291,Bite,1
12.291,Bite,1
12.291,Bite,1
12.559,Bite,1
12.559,Bite,1
12.559,Bite,1
13.37,Bite,1
13.37,Bite,1
13.37,Bite,1
14.181,Bite,1
14.181,Bite,1
14.181,Bite,1
14.99,Bite,1
14.99,Bite,1
14.99,Bite,1
15.801,Bite,1
15.801,Bite,1
15.801,Bite,1
17.42,Bite,1
17.42,Bite,1
17.42,Bite,1
18.229,Bite,1
18.229,Bite,1
18.229,Bite,1
19.039,Bite,1
19.039,Bite,1
19.039,Bite,1
19.851,Bite,1
19.851,Bite,1
19.851,Bite,1
21.199,Bite,1
21.199,Bite,1
21.199,Bite,1
22.01,Bite,1
22.01,Bite,1
22.01,Bite,1
22.819,Noview,2
22.819,Noview,2
22.819,Noview,2
33.62,View,3
33.62,View,3
35.239,Bite,1
35.239,Bite,1
35.239,Bite,1
35.779,Bite,1
35.779,Bite,1
35.779,Bite,1
36.591,Bite,1
36.591,Bite,1
36.591,Bite,1
37.67,Bite,1
37.67,Bite,1
37.67,Bite,1
38.481,Bite,1
38.481,Bite,1
38.481,Bite,1
39.56,Bite,1
39.56,Bite,1
39.56,Bite,1
40.1,Bite,1
40.1,Bite,1
40.1,Bite,1
40.909,Bite,1
40.909,Bite,1
40.909,Bite,1
41.719,Bite,1
41.719,Bite,1
41.719,Bite,1
42.529,Bite,1
42.529,Bite,1
42.529,Bite,1
43.34,Bite,1
43.34,Bite,1
43.34,Bite,1
44.15,Bite,1
44.15,Bite,1
44.15,Bite,1
44.69,Bite,1
44.69,Bite,1
44.69,Bite,1
45.499,Bite,1
45.499,Bite,1
45.499,Bite,1
46.309,Bite,1
46.309,Bite,1
46.309,Bite,1
47.119,Bite,1
47.119,Bite,1
47.119,Bite,1
48.2,Bite,1
48.2,Bite,1
48.2,Bite,1
48.739,Bite,1
48.739,Bite,1
48.739,Bite,1
49.55,Bite,1
49.55,Bite,1
49.55,Bite,1
50.359,Bite,1
50.359,Bite,1
50.359,Bite,1
51.169,Bite,1
51.169,Bite,1
51.169,Bite,1
52.79,Bite,1
52.79,Bite,1
52.79,Bite,1
53.601,Bite,1
53.601,Bite,1
53.601,Bite,1
54.68,Bite,1
54.68,Bite,1
54.68,Bite,1
55.76,Bite,1
55.76,Bite,1
55.76,Bite,1
56.84,Bite,1
56.84,Bite,1
56.84,Bite,1
57.38,Bite,1
57.38,Bite,1
57.38,Bite,1
