time,code,class
1.761,Bite,1
2.301,Bite,1
3.379,Bite,1
4.19,Bite,1
4.73,Bite,1
6.082,Bite,1
6.89,Bite,1
7.97,Bite,1
10.941,Bite,1
11.21,Bite,1
12.56,Bite,1
13.101,Bite,1
13.911,Bite,1
14.45,Bite,1
15.26,Bite,1
16.07,Bite,1
16.88,Bite,1
17.691,Bite,1
18.23,Bite,1
19.041,Bite,1
20.39,Bite,1
21.47,Bite,1
22.009,Bite,1
22.82,Bite,1
23.63,Bite,1
24.711,Bite,1
25.52,Bite,1
27.409,Bite,1
28.221,Bite,1
29.3,Bite,1
30.11,Bite,1
30.92,Bite,1
31.73,Bite,1
32.271,Bite,1
33.35,Bite,1
33.891,Bite,1
34.7,Bite,1
35.51,Bite,1
36.32,Bite,1
37.13,Bite,1
37.67,Bite,1
38.75,Bite,1
39.561,Bite,1
40.37,Bite,1
40.911,Bite,1
41.72,Bite,1
42.53,Bite,1
43.34,Bite,1
44.15,Bite,1
46.851,Bite,1
53.869,Bite,1
54.681,Bite,1
55.49,Bite,1
56.301,Bite,1
56.841,Bite,1
57.65,Bite,1
58.191,Bite,1
59.001,Bite,1
59.539,Bite,1
60.89,Bite,1
62.24,Bite,1
62.781,Bite,1
63.32,Bite,1
64.131,Bite,1
64.67,Bite,1
65.75,Bite,1
66.29,Bite,1
67.1,Bite,1
67.91,Bite,1
68.719,Bite,1
69.531,Bite,1
70.07,Bite,1
70.881,Bite,1
71.69,Bite,1
72.5,Bite,1
73.311,Bite,1
74.121,Bite,1
74.93,Bite,1
75.741,Bite,1
76.55,Bite,1
78.17,Bite,1
79.251,Bite,1
79.79,Bite,1
80.87,Bite,1
81.41,Bite,1
82.22,Bite,1
83.03,Bite,1
83.84,Bite,1
84.65,Bite,1
85.459,Bite,1
86.271,Bite,1
87.081,Bite,1
87.891,Bite,1
88.7,Bite,1
89.51,Bite,1
90.321,Bite,1
91.129,Bite,1
91.94,Bite,1
92.75,Bite,1
93.831,Bite,1
94.371,Bite,1
