time,code,class
1.761,Bite,1
2.299,Bite,1
3.38,Bite,1
4.189,Bite,1
5.27,Bite,1
5.809,Bite,1
6.62,Bite,1
7.429,Bite,1
9.319,Bite,1
10.94,Bite,1
11.751,Bite,1
12.56,Bite,1
15.531,Noview,2
23.36,View,3
23.631,Bite,1
24.44,Bite,1
25.25,Bite,1
26.06,Bite,1
26.871,Bite,1
27.95,Bite,1
28.489,Bite,1
34.43,Bite,1
35.509,Bite,1
36.32,Bite,1
36.86,Bite,1
37.67,Bite,1
38.48,Bite,1
39.83,Bite,1
40.37,Bite,1
41.18,Bite,1
41.99,Bite,1
42.8,Bite,1
43.61,Bite,1
44.15,Bite,1
44.959,Bite,1
45.77,Bite,1
46.58,Bite,1
47.39,Bite,1
48.2,Bite,1
49.009,Bite,1
49.55,Bite,1
50.629,Bite,1
51.44,Bite,1
52.25,Bite,1
53.061,Bite,1
53.87,Bite,1
54.409,Bite,1
55.49,Bite,1
56.03,Bite,1
56.841,Bite,1
57.65,Bite,1
58.19,Bite,1
59.001,Bite,1
60.079,Bite,1
60.89,Bite,1
61.7,Bite,1
62.511,Bite,1
63.32,Bite,1
64.131,Bite,1
64.941,Bite,1
65.749,Bite,1
66.56,Bite,1
67.37,Bite,1
68.181,Bite,1
68.991,Bite,1
70.071,Bite,1
70.88,Bite,1
71.691,Bite,1
72.77,Bite,1
73.58,Bite,1
74.661,Bite,1
75.47,Bite,1
76.281,Bite,1
77.089,Bite,1
77.901,Bite,1
78.709,Bite,1
79.521,Bite,1
80.331,Bite,1
80.87,Bite,1
81.95,Bite,1
82.76,Bite,1
83.571,Bite,1
84.379,Bite,1
85.191,Bite,1
86,Bite,1
86.811,Bite,1
87.35,Bite,1
88.7,Bite,1
89.241,Bite,1
90.049,Bite,1
90.591,Bite,1
91.669,Bite,1
92.75,Bite,1
93.56,Bite,1
94.37,Bite,1
95.18,Bite,1
95.99,Bite,1
96.8,Bite,1
97.881,Bite,1
98.69,Bite,1
99.499,Bite,1
100.311,Bite,1
101.12,Bite,1
101.93,Bite,1
102.741,Bite,1
103.551,Bite,1
104.36,Bite,1
105.17,Bite,1
105.98,Bite,1
106.79,Bite,1
107.6,Bite,1
108.411,Bite,1
109.221,Bite,1
110.03,Bite,1
111.111,Bite,1
111.921,Bite,1
112.73,Bite,1
113.54,Bite,1
114.349,Bite,1
115.16,Bite,1
115.97,Bite,1
116.78,Bite,1
117.59,Bite,1
118.401,Bite,1
119.211,Bite,1
120.02,Bite,1
121.101,Bite,1
121.91,Bite,1
122.451,Bite,1
123.261,Bite,1
124.07,Bite,1
124.88,Bite,1
125.961,Bite,1
126.77,Bite,1
127.58,Bite,1
128.391,Bite,1
129.469,Bite,1
130.01,Bite,1
130.821,Bite,1
131.631,Bite,1
132.441,Bite,1
133.249,Bite,1
134.06,Bite,1
134.87,Bite,1
135.681,Bite,1
142.43,Bite,1
143.24,Bite,1
144.32,Bite,1
145.13,Bite,1
145.939,Bite,1
146.751,Bite,1
147.561,Bite,1
148.37,Bite,1
149.18,Bite,1
149.989,Bite,1
150.8,Bite,1
151.609,Bite,1
152.15,Bite,1
152.96,Bite,1
153.77,Bite,1
154.58,Bite,1
155.389,Bite,1
156.201,Bite,1
157.01,Bite,1
157.821,Bite,1
158.63,Bite,1
159.439,Bite,1
160.251,Bite,1
161.059,Bite,1
161.87,Bite,1
162.681,Bite,1
163.491,Bite,1
166.19,Bite,1
167,Bite,1
167.811,Bite,1
168.619,Bite,1
169.431,Bite,1
170.51,Bite,1
171.321,Bite,1
172.129,Bite,1
173.75,Noview,2
178.07,View,3
179.421,Bite,1
179.689,Bite,1
180.5,Bite,1
181.311,Bite,1
182.121,Bite,1
182.93,Bite,1
183.74,Bite,1
184.821,Bite,1
185.63,Bite,1
186.44,Bite,1
187.25,Bite,1
