time,code,class
0,Autre,2
15.857,Ing,1
39.741,Autre,2
63.591,Ing,1
86.453,Autre,2
112.552,Ing,1
130.914,Noview,3
142.79,Autre,2
204.982,Ing,1
241.431,Noview,3
250.522,Autre,2
266.719,Ing,1
319.821,Autre,2
350.153,Ing,1
419.723,Autre,2
438.081,Ing,1
444.294,Autre,2
456.621,Ing,1
463.911,Autre,2
482.092,Ing,1
495.68,Autre,2
519.621,Ing,1
549.859,Autre,2
581.901,Ing,1
611.24,Autre,2
629.151,Ing,1
677.841,Autre,2
695.392,Ing,1
736.072,Autre,2
750.834,Ing,1
771.62,Autre,2
800.51,Ing,1
850.1,Autre,2
862.16,Ing,1
873.86,Autre,2
914.54,Ing,1
924.804,Autre,2
943.071,Ing,1
990.86,Autre,2
1005.622,Ing,1
1012.462,Autre,2
1027.401,Ing,1
1053.684,Autre,2
1072.403,Ing,1
1113.173,Autre,2
1129.192,Ing,1
1139.809,Autre,2
1147.104,Ing,1
1155.923,Autre,2
1171.583,Noview,3
1174.553,Ing,1
1180.493,Autre,2
1195.791,Noview,3
1220.27,Autre,2
1227.56,Ing,1
1276.071,Autre,2
1297.672,Ing,1
1315.22,Autre,2
1359.952,Ing,1
1401.799,Noview,3
1405.041,Autre,2
1422.683,Ing,1
1437.081,Autre,2
1463.722,Ing,1
1493.061,Autre,2
1511.872,Ing,1
1527.892,Autre,2
1544.273,Ing,1
1564.791,Autre,2
1596.74,Ing,1
1652.364,Autre,2
1705.641,Ing,1
1728.05,Autre,2
1750.19,Ing,1
1795.284,Autre,2
1800.45,END,0
