time,code,class
0,Ing,1
25.97,Autre,2
51.17,Ing,1
61.16,Autre,2
71.42,Ing,1
98.42,Autre,2
111.741,Ing,1
125.509,Autre,2
175.19,Ing,1
179.42,Autre,2
317.569,Noview,3
325.671,Ing,1
336.919,Noview,3
349.79,Autre,2
372.739,Ing,1
461.209,Autre,2
475.43,Ing,1
518.99,Autre,2
530.42,Ing,1
584.151,Autre,2
599.541,Ing,1
608.811,Autre,2
687.109,Ing,1
708.351,Noview,3
724.462,Ing,1
771.349,Autre,2
809.509,Ing,1
826.88,Autre,2
837.681,Ing,1
896.36,Autre,2
909.859,Ing,1
918.319,Autre,2
1025.24,Noview,3
1031.18,Ing,1
1122.89,Autre,2
1136.66,Ing,1
1177.699,Autre,2
1190.659,Ing,1
1202.269,Autre,2
1216.219,Ing,1
1233.05,Autre,2
1266.709,Noview,3
1280.929,Autre,2
1289.842,Ing,1
1346.449,Autre,2
1800.45,END,0
