time,code,class
0,Ing,1
15.98,Autre,2
437,Ing,1
457.429,Autre,2
482.81,Ing,1
508.371,Autre,2
654.71,Ing,1
679.82,Autre,2
697.549,Ing,1
727.88,Autre,2
745.25,Ing,1
775.67,Autre,2
789.709,Ing,1
855.5,Autre,2
889.07,Ing,1
938.75,Autre,2
958.28,Ing,1
983.93,Autre,2
1024.7,Ing,1
1050.26,Autre,2
1066.46,Ing,1
1111.911,Autre,2
1126.491,Ing,1
1130.541,Autre,2
1154.03,Ing,1
1247.36,Autre,2
1256.63,Ing,1
1264.1,Autre,2
1300.46,Ing,1
1395.499,Autre,2
1409.181,Ing,1
1463.99,Autre,2
1477.85,Ing,1
1499.541,Autre,2
1510.881,Ing,1
1612.04,Autre,2
1634.9,Ing,1
1727.6,Autre,2
1735.97,Ing,1
1746.319,Autre,2
1754.42,Ing,1
1859.54,Autre,2
1872.499,Ing,1
1925.421,Autre,2
1934.601,Ing,1
1951.88,Autre,2
1970.781,Ing,1
2016.45,END,0
