time,code,class
0,Autre,2
4.301,Noview,3
52.894,Ing,1
59.122,Autre,2
71.073,Noview,3
89.202,Ing,1
95.927,Autre,2
97.827,Noview,3
182.012,Ing,1
219.795,Autre,2
223.02,Noview,3
275.226,Autre,2
281.178,Ing,1
322.907,Autre,2
334.309,Ing,1
421.595,Autre,2
434.098,Ing,1
471.279,Autre,2
476.129,Noview,3
496.982,Autre,2
506.235,Ing,1
538.868,Autre,2
559.695,Ing,1
589.302,Autre,2
609.182,Ing,1
621.983,Autre,2
630.236,Noview,3
634.287,Ing,1
637.236,Noview,3
668.441,Autre,2
670.317,Ing,1
671.392,Noview,3
698.27,Ing,1
702.62,Autre,2
704.77,Noview,3
715.948,Ing,1
718.673,Autre,2
728.976,Ing,1
746.181,Autre,2
758.958,Ing,1
775.36,Autre,2
783.086,Noview,3
792.261,Autre,2
819.739,Ing,1
822.739,Autre,2
849.093,Noview,3
863.819,Autre,2
870.12,Noview,3
876.421,Autre,2
890.874,Ing,1
893.624,Autre,2
895.249,Noview,3
