time,code,class
0,Ingestion,1
64.386,Other,2
82.88,Ingestion,1
315.808,Other,2
327.509,Ingestion,1
279.383,Noview,3
359.999,Ingestion,1
380.969,Other,2
401.358,Noview,3
438.112,Ingestion,1
486.453,Other,2
490.747,Noview,3
527.951,Ingestion,1
747.374,Other,2
753.996,Noview,3
810.214,Ingestion,1
818.885,Noview,3
851.903,Ingestion,1
882.211,Noview,3
918.499,Ingestion,1
929.4,Other,2
932.412,Noview,3
968.565,Ingestion,1
987.037,Other,2
999.312,Ingestion,1
1177.674,Other,2
1197.554,Noview,3
1201.446,Other,2
1229.722,Ingestion,1
1252.211,Other,2
1264.772,Ingestion,1
1288.356,Other,2
1316.605,Ingestion,1
1360.049,Other,2
1370.747,Ingestion,1
1440.389,Other,2
1478.681,Noview,3
1501.209,Other,2
1534.621,Ingestion,1
1705.641,Other,2
1727.869,Ingestion,1
1738.495,Other,2
1791.513,Ingestion,1
1811.296,Other,2
1835.443,Ingestion,1
1892.312,Other,2
1915.27,Ingestion,1
1906.901,END,0
