time,code,class
0,ing,1
101.812,Noview,3
135.737,ing,1
137.612,autre,2
152.764,ing,1
276.624,autre,2
279.348,Noview,3
299.399,ing,1
316.777,autre,2
331.304,ing,1
365.01,autre,2
376.763,ing,1
517.38,autre,2
530.88,ing,1
582.539,autre,2
586.365,Noview,3
593.066,ing,1
618.02,Noview,3
630.274,ing,1
637.801,autre,2
639.175,Noview,3
642.726,autre,2
657.903,ing,1
740.337,autre,2
749.936,Noview,3
755.338,ing,1
972.38,autre,2
988.058,ing,1
1216.754,Noview,3
1226.904,ing,1
1246.557,Noview,3
1266.16,ing,1
1353.945,autre,2
1364.346,ing,1
1370.796,autre,2
1372.147,Noview,3
1376.573,autre,2
1383.848,ing,1
1489.709,autre,2
1525.313,ing,1
1700.858,autre,2
1719.233,ing,1
1800.416,autre,2
