time,code,class
0,Autre,2
11.841,Ing,1
92.211,Autre,2
105.619,Ing,1
169.79,Autre,2
179.87,Ing,1
210.649,Autre,2
224.69,Ing,1
237.47,Autre,2
280.131,Ing,1
367.071,Autre,2
388.939,Ing,1
431.96,Autre,2
446.811,Ing,1
454.279,Noview,3
555.711,Ing,1
572.269,Autre,2
584.509,Ing,1
611.24,Autre,2
628.52,Ing,1
691.79,Autre,2
698.81,Ing,1
872.87,Autre,2
888.26,Ing,1
903.92,Autre,2
912.831,Ing,1
928.759,Autre,2
932.81,Ing,1
1037.03,Autre,2
1048.099,Ing,1
1050.53,Autre,2
1061.511,Noview,3
1162.309,Ing,1
1176.17,Autre,2
1329.889,Ing,1
1339.701,Autre,2
1375.521,Ing,1
1404.231,Autre,2
1709.24,Ing,1
1721.029,Autre,2
1800.45,END,0
