time,code,class
0,ing,1
64.537,autre,2
84.865,ing,1
94.941,autre,2
140.049,ing,1
166.928,autre,2
186.206,ing,1
189.358,autre,2
214.087,ing,1
240.814,autre,2
258.567,ing,1
482.77,Noview,3
500.946,ing,1
606.978,autre,2
652.107,ing,1
705.041,autre,2
723.217,ing,1
733.193,ing,1
821.456,autre,2
838.135,ing,1
920.993,autre,2
963.469,ing,1
978.721,autre,2
996.596,ing,1
1057.222,autre,2
1120.473,Noview,3
1122.098,ing,1
1149.628,autre,2
1168.18,ing,1
1180.132,autre,2
1198.333,ing,1
1278.918,autre,2
