time,code,class
0,ing,1
58.967,autre,2
74.655,ing,1
95.481,autre,2
114.911,ing,1
184.223,autre,2
203.914,ing,1
263.705,autre,2
277.335,ing,1
335.8,autre,2
363.462,ing,1
369.023,autre,2
384.22,ing,1
392.223,autre,2
419.574,ing,1
465.559,autre,2
561.676,ing,1
568.277,autre,2
581.729,ing,1
597.029,autre,2
607.657,ing,1
822.582,autre,2
847.96,ing,1
1050.731,autre,2
1058.657,noview,3
1061.907,autre,2
1064.107,ing,1
1224.901,autre,2
1243.004,ing,1
1640.869,autre,2
1656.021,ing,1
1707.576,autre,2
1741.085,ing,1
1770.792,autre,2
1824.347,ing,1
1852.898,autre,2
1857.773,noview,3
