time,code,class
0,Autre,2
57.471,Ing,1
77.901,Autre,2
89.331,Ing,1
96.62,Autre,2
111.38,Ing,1
118.67,Autre,2
158.18,Ing,1
182.121,Autre,2
213.26,Ing,1
231.349,Autre,2
250.34,Ing,1
291.293,Autre,2
315.5,Ing,1
343.491,Autre,2
374.541,Ing,1
390.83,Autre,2
402.8,Ing,1
416.571,Autre,2
436.011,Ing,1
465.71,Autre,2
487.399,Ing,1
556.881,Autre,2
581.361,Ing,1
620.061,Autre,2
638.509,Ing,1
679.73,Autre,2
700.7,Ing,1
714.831,Autre,2
735.35,Ing,1
752.09,Autre,2
775.13,Ing,1
808.879,Autre,2
823.01,Ing,1
851.99,Autre,2
866.39,Ing,1
886.37,Autre,2
905.271,Ing,1
919.669,Autre,2
932.451,Ing,1
956.031,Autre,2
972.501,Ing,1
1008.95,Autre,2
1045.13,Ing,1
1057.19,Autre,2
1085.451,Ing,1
1113.17,Autre,2
1139.269,Ing,1
1145.75,Autre,2
1178.78,Ing,1
1190.93,Autre,2
1207.309,Ing,1
1216.939,Autre,2
1236.74,Ing,1
1253.571,Noview,3
1312.341,Autre,2
1348.7,Ing,1
1355.811,Autre,2
1379.57,Ing,1
1385.869,Autre,2
1406.572,Ing,1
1415.929,Autre,2
1438.258,Ing,1
1449.95,Autre,2
1462.999,Ing,1
1474.791,Autre,2
1485.591,Ing,1
1516.012,Autre,2
1543.371,Ing,1
1551.111,Autre,2
1587.111,Ing,1
1611.14,Autre,2
1643.63,Noview,3
1653.98,Autre,2
1675.76,Ing,1
1683.589,Autre,2
1762.79,Ing,1
1798.521,Noview,3
1805.22,END,0
