time,code,class
0,Ing,1
15.171,Autre,2
46.939,Ing,1
53.869,Autre,2
104.989,Noview,3
136.939,Autre,2
191.391,Ing,1
223.43,Autre,2
240.35,Ing,1
354.65,Autre,2
374.539,Ing,1
478.849,Autre,2
491.18,Ing,1
570.291,Autre,2
593.51,Ing,1
603.859,Autre,2
624.83,Ing,1
708.44,Autre,2
723.11,Ing,1
893.931,Autre,2
906.08,Ing,1
981.499,Autre,2
985.82,Noview,3
1028.029,Ing,1
1045.579,Noview,3
1067.18,Ing,1
1126.403,Autre,2
1144.67,Ing,1
1228.28,Autre,2
1239.62,Ing,1
1263.469,Autre,2
1282.91,Ing,1
1297.31,Noview,3
1320.804,Autre,2
1363.37,Noview,3
1374.259,Autre,2
1379.66,Ing,1
1387.041,Autre,2
1405.491,Ing,1
1481.002,Autre,2
1492.069,Ing,1
1559.03,Autre,2
1570.013,Ing,1
1593.77,Autre,2
1624.819,Ing,1
1707.261,Autre,2
1730.48,Ing,1
1751.54,Autre,2
1791.501,Ing,1
1800.9,END,0
