time,code,class
0,Ing,1
10.219,Autre,2
26.96,Ing,1
66.921,Autre,2
81.411,Ing,1
105.619,Autre,2
125.601,Ing,1
166.37,Autre,2
175.549,Noview,3
184.459,Ing,1
227.75,Autre,2
245.659,Ing,1
313.52,Autre,2
324.14,Ing,1
343.04,Autre,2
356.54,Ing,1
501.08,Autre,2
529.339,Ing,1
576.141,Autre,2
592.071,Ing,1
635.901,Autre,2
657.139,Ing,1
669.291,Autre,2
679.82,Ing,1
690.261,Autre,2
701.421,Ing,1
755.781,Autre,2
771.26,Ing,1
776.93,Autre,2
791.779,Ing,1
852.531,Autre,2
862.791,Ing,1
898.34,Autre,2
914.99,Ing,1
931.55,Noview,3
941,Autre,2
947.21,Ing,1
948.832,Autre,2
965.481,Ing,1
1002.65,Autre,2
1016.961,Ing,1
1045.311,Autre,2
1057.099,Ing,1
1068.71,Autre,2
1084.01,Ing,1
1178.24,Autre,2
1196.961,Ing,1
1209.47,Autre,2
1224.77,Ing,1
1301.54,Autre,2
1314.501,Ing,1
1332.68,Autre,2
1353.559,Ing,1
1366.88,Autre,2
1388.57,Ing,1
1402.789,Autre,2
1447.88,Ing,1
1475.24,Autre,2
1486.581,Ing,1
1500.8,Autre,2
1525.64,Ing,1
1566.051,Autre,2
1602.499,Ing,1
1618.881,Autre,2
1633.729,Ing,1
1644.531,Autre,2
1663.881,Ing,1
1669.371,Autre,2
1697.631,Ing,1
1698.709,Autre,2
1729.491,Ing,1
1736.239,Autre,2
1754.331,Ing,1
1784.569,Autre,2
1800.45,END,0
