time,code,class
0,Ing,1
10.04,Autre,2
58.64,Ing,1
133.611,Noview,3
166.82,Ing,1
188.599,Autre,2
212.99,Ing,1
330.351,Autre,2
336.021,Noview,3
341.149,Ing,1
358.161,Noview,3
374.361,Ing,1
389.391,Autre,2
405.86,Ing,1
432.139,Autre,2
730.49,Noview,3
787.729,Autre,2
810.769,Ing,1
866.481,Autre,2
878.81,Ing,1
911.66,Autre,2
917.6,Noview,3
938.299,Ing,1
989.781,Autre,2
1002.02,Ing,1
1045.941,Noview,3
1077.529,Ing,1
1139.45,Noview,3
1196.781,Ing,1
1210.279,Autre,2
1246.82,Noview,3
1351.579,Autre,2
1366.251,Noview,3
1436.001,Autre,2
1465.88,Noview,3
1483.52,Autre,2
1493.959,Ing,1
1504.13,Autre,2
1548.499,Noview,3
1552.28,Ing,1
1618.971,Autre,2
1624.64,Noview,3
1634.27,Ing,1
1688.54,Noview,3
1710.59,Ing,1
1802.34,END,0
