time,code,class
0,Ing,1
495.303,Autre,2
510.38,Ing,1
514.729,Noview,3
525.754,Autre,2
553.858,Noview,3
574.964,Ing,1
591.541,Autre,2
601.816,Noview,3
603.991,Ing,1
797.943,Autre,2
823.694,Ing,1
844.372,Autre,2
857.074,Noview,3
863.724,Autre,2
870.776,Noview,3
874.878,Ing,1
1059.947,Autre,2
1070.121,Ing,1
1223.027,Noview,3
1268.439,Ing,1
1362.3,Noview,3
1389.954,Ing,1
1510.857,Autre,2
1519.859,Noview,3
1523.633,Ing,1
1591.629,Autre,2
1604.079,Ing,1
1606.004,Autre,2
1614.53,Ing,1
1637.536,Autre,2
1645.773,Noview,3
1649.574,Ing,1
1741.761,Autre,2
1755.363,Noview,3
1779.491,Autre,2
1783.216,Ing,1
