time,code,class
0,Autre,2
22.101,Ing,1
28.579,Autre,2
90.5,Ing,1
224.24,Autre,2
239.182,Ing,1
360.859,Autre,2
372.29,Ing,1
383.089,Autre,2
397.581,Ing,1
411.17,Autre,2
430.07,Ing,1
504.32,Autre,2
515.3,Ing,1
647.511,Autre,2
673.249,Ing,1
681.801,Autre,2
709.069,Ing,1
721.311,Autre,2
777.921,Ing,1
792.859,Autre,2
850.19,Ing,1
910.491,Autre,2
921.02,Ing,1
927.59,Autre,2
941.179,Ing,1
952.43,Autre,2
1002.201,Ing,1
1030.099,Autre,2
1044.049,Ing,1
1050.89,Autre,2
1603.85,Ing,1
1607.899,Autre,2
1800.9,END,0
