time,code,class
0,Ing,1
74.3,Autre,2
87.261,Ing,1
125.96,Autre,2
586.04,Ing,1
587.93,Autre,2
598.281,Ing,1
768.739,Autre,2
784.491,Ing,1
849.649,Autre,2
861.531,Ing,1
863.15,Autre,2
864.77,Noview,3
875.48,Ing,1
886.37,Autre,2
935.42,Ing,1
948.919,Autre,2
960.44,Noview,3
974.209,Ing,1
985.909,Autre,2
1000.039,Ing,1
1025.51,Autre,2
1038.561,Ing,1
1089.319,Autre,2
1117.4,Ing,1
1156.91,Autre,2
1178.059,Ing,1
1274.09,Autre,2
1292.449,Ing,1
1484.33,Noview,3
1533.56,Ing,1
1602.501,Autre,2
1612.76,Ing,1
1791.139,Autre,2
1800.9,END,0
