time,code,class
0,Ing,1
108.769,Autre,2
122.453,Ing,1
183.829,Autre,2
202.01,Ing,1
283.01,Autre,2
297.32,Ing,1
315.77,Noview,3
349.34,Ing,1
372.38,Autre,2
385.07,Noview,3
393.709,Ing,1
422.599,Autre,2
432.049,Ing,1
450.32,Noview,3
504.5,Autre,2
520.971,Ing,1
593.061,Autre,2
609.53,Ing,1
725.899,Autre,2
749.391,Ing,1
797.721,Autre,2
809.24,Ing,1
843.8,Autre,2
858.921,Ing,1
906.98,Noview,3
935.689,Ing,1
973.4,Autre,2
986.091,Ing,1
1027.31,Noview,3
1044.05,Autre,2
1054.31,Ing,1
1110.2,Autre,2
1118.75,Ing,1
1132.069,Autre,2
1149.891,Ing,1
1192.19,Autre,2
1205.331,Ing,1
1246.73,Autre,2
1255.911,Ing,1
1318.64,Autre,2
1424.749,Ing,1
1448.6,Autre,2
1459.941,Ing,1
1500.169,Noview,3
1527.261,Ing,1
1566.77,Autre,2
1584.59,Noview,3
1655.329,Autre,2
1670.989,Ing,1
1718.06,Autre,2
1726.969,Ing,1
1801.44,END,0
