time,code,class
0,Ing,1
6.677,Autre,2
17.827,Ing,1
43.93,Noview,3
54.486,Ing,1
84.867,Autre,2
114.892,Ing,1
127.669,Autre,2
155.448,Ing,1
163.624,Autre,2
178.224,Ing,1
223.179,Autre,2
262.809,Ing,1
269.112,Autre,2
282.19,Ing,1
292.718,Autre,2
521.487,Ing,1
590.618,Autre,2
595.744,Noview,3
606.605,Ing,1
870.889,Autre,2
883.565,Ing,1
1053.57,Noview,3
1067.071,Autre,2
1088.698,Noview,3
1103.3,Ing,1
1152.457,Autre,2
1187.859,Ing,1
1214.214,Autre,2
1300.324,Noview,3
1325.128,Autre,2
1342.082,Noview,3
1368.31,Autre,2
1392.515,Noview,3
1403.693,Autre,2
1461.048,Ing,1
1526.404,Noview,3
1529.656,Autre,2
1540.031,Ing,1
1669.225,Autre,2
1684.928,Ing,1
1754.658,Autre,2
1780.511,Ing,1
1803.815,Autre,2
1818.567,Ing,1
1853.771,Autre,2
1866.974,Ing,1
1923.633,Autre,2
1927.61,Noview,3
1937.688,Ing,1
1958.891,Autre,2
1965.819,Noview,3
1972.319,Ing,1
1981.27,Autre,2
2001.521,Ing,1
2012.348,Autre,2
2027.772,Ing,1
2068.377,Autre,2
