time,code,class
0,Ing,1
11.21,Autre,2
26.96,Ing,1
63.95,Autre,2
98.42,Ing,1
108.77,Autre,2
126.95,Noview,3
142.429,Autre,2
152.151,Ing,1
155.931,Autre,2
170.24,Ing,1
217.49,Autre,2
231.44,Ing,1
269.509,Autre,2
294.62,Ing,1
363.2,Autre,2
394.88,Ing,1
415.4,Noview,3
428.27,Autre,2
432.32,Ing,1
462.469,Autre,2
475.969,Ing,1
541.49,Autre,2
559.31,Ing,1
607.461,Autre,2
610.431,Noview,3
645.71,Ing,1
720.951,Autre,2
734.359,Ing,1
740.21,Autre,2
750.47,Ing,1
758.841,Autre,2
806.99,Ing,1
825.98,Autre,2
838.309,Noview,3
902.211,Ing,1
919.669,Noview,3
934.251,Ing,1
952.611,Noview,3
979.07,Autre,2
1001.659,Ing,1
1010.031,Autre,2
1015.971,Noview,3
1022.721,Ing,1
1030.46,Autre,2
1094.899,Ing,1
1118.03,Autre,2
1142.601,Noview,3
1145.839,Ing,1
1158.26,Autre,2
1172.659,Noview,3
1181.749,Ing,1
1199.841,Noview,3
1263.47,Ing,1
1322.42,Autre,2
1333.761,Ing,1
1337.901,Autre,2
1364.901,Ing,1
1407.65,Noview,3
1423.759,Ing,1
1455.169,Autre,2
1469.21,Ing,1
1484.87,Autre,2
1498.099,Ing,1
1531.85,Autre,2
1760.81,Ing,1
1784.84,Autre,2
1800.72,END,0
