time,code,class
0,Ing,1
75.829,Autre,2
90.409,Ing,1
148.91,Autre,2
168.08,Ing,1
180.319,Autre,2
198.77,Ing,1
351.59,Noview,3
389.929,Ing,1
394.52,Autre,2
420.169,Ing,1
484.328,Autre,2
498.276,Ing,1
548.496,Autre,2
561.817,Ing,1
620.046,Autre,2
654.516,Ing,1
687.996,Autre,2
702.667,Ing,1
711.937,Autre,2
754.688,Ing,1
833.167,Autre,2
851.886,Ing,1
902.557,Autre,2
914.256,Ing,1
949.267,Noview,3
973.297,Ing,1
1020.006,Autre,2
1029.908,Noview,3
1069.777,Ing,1
1083.007,Noview,3
1134.127,Ing,1
1209.907,Autre,2
1228.807,Ing,1
1269.576,Autre,2
1280.556,Ing,1
1353.096,Autre,2
1374.967,Ing,1
1413.308,Noview,3
1442.107,Ing,1
1443.727,Autre,2
1456.597,Ing,1
1504.387,Autre,2
1517.887,Ing,1
1529.226,Autre,2
1567.027,Ing,1
1570.087,Autre,2
1586.376,Ing,1
1591.777,Noview,3
1609.686,Autre,2
1617.787,Ing,1
1861.92,END,0
