time,code,class
0,Ing,1
16.351,Autre,2
72.377,Ing,1
148.29,Autre,2
154.489,Noview,3
169.117,Autre,2
181.843,Ing,1
190.844,Autre,2
228.273,Noview,3
246.051,Autre,2
415.473,Ing,1
418.448,Autre,2
449.949,Ing,1
468.078,Autre,2
478.454,Ing,1
499.933,Autre,2
515.338,Noview,3
521.264,Ing,1
558.293,Autre,2
570.195,Ing,1
679.525,Autre,2
702.58,Ing,1
816.637,Autre,2
825.889,Noview,3
854.243,Ing,1
905.4,Noview,3
927.026,Autre,2
930.027,Ing,1
981.535,Autre,2
984.284,Noview,3
996.01,Ing,1
1039.444,Autre,2
1049.522,Ing,1
1123.606,Autre,2
1141.183,Noview,3
1146.334,Ing,1
1160.812,Autre,2
1168.94,Noview,3
1176.014,Ing,1
1203.069,Autre,2
1224.319,Noview,3
1229.17,Ing,1
1256.525,Autre,2
1274.854,Ing,1
1354.115,Noview,3
1366.943,Autre,2
