time,code,class
0,Autre,2
57.201,Ing,1
68.81,Autre,2
234.861,Noview,3
238.373,Ing,1
257.452,Autre,2
319.282,Noview,3
324.951,Ing,1
343.312,Autre,2
375.621,Ing,1
388.311,Autre,2
401.004,Ing,1
409.822,Autre,2
432.501,Ing,1
454.283,Autre,2
472.915,Ing,1
481.732,Autre,2
531.233,Ing,1
542.39,Autre,2
564.353,Ing,1
577.853,Autre,2
588.92,Ing,1
620.963,Autre,2
697.549,Ing,1
707.81,Autre,2
737.69,Ing,1
744.98,Autre,2
806.002,Ing,1
822.921,Autre,2
849.11,Noview,3
868.37,Autre,2
885.383,Ing,1
902.572,Autre,2
940.82,Ing,1
964.043,Autre,2
1053.321,Ing,1
1059.534,Autre,2
1086.531,Noview,3
1137.83,Autre,2
1148.9,Ing,1
1179.861,Autre,2
1199.391,Ing,1
1219.644,Autre,2
1254.112,Ing,1
1295.24,Autre,2
1311.172,Ing,1
1318.91,Noview,3
1326.38,Autre,2
1336.91,Ing,1
1349.332,Autre,2
1364.9,Ing,1
1373.63,Autre,2
1401.08,Ing,1
1404.859,Autre,2
1413.234,Noview,3
1417.549,Ing,1
1445.271,Autre,2
1464.62,Ing,1
1479.021,Autre,2
1516.821,Ing,1
1529.421,Autre,2
1569.922,Ing,1
1613.12,Autre,2
1621.492,Noview,3
1625.271,Ing,1
1658.121,Autre,2
1686.562,Ing,1
1748.303,Autre,2
1760.45,Ing,1
1794.653,Autre,2
1800,END,0
