time,code,class
0,Ing,1
155.315,Autre,2
172.192,Ing,1
383.94,Autre,2
430.021,Ing,1
439.046,Noview,3
457.151,Ing,1
470.156,Autre,2
481.532,Ing,1
766.56,Noview,3
782.136,Ing,1
983.204,Noview,3
1043.485,Ing,1
1050.977,Autre,2
1065.429,Ing,1
1127.113,Autre,2
1137.765,Ing,1
1146.442,Noview,3
1161.92,Autre,2
1177.721,Ing,1
1195.623,Autre,2
1217.501,Noview,3
1238.529,Autre,2
1271.314,Noview,3
1285.889,Autre,2
1460.596,Ing,1
1466.798,Autre,2
1493.876,Ing,1
1499.477,Autre,2
1555.786,Noview,3
1590.14,Autre,2
1719.754,Ing,1
1722.48,Autre,2
1736.632,Ing,1
1791.585,Autre,2
1792.135,Noview,3
1801.187,Autre,2
1803.862,Noview,3
