time,code,class
0,Ing,1
16.023,Autre,2
70.849,Ing,1
242.627,Autre,2
253.453,Ing,1
375.067,Autre,2
395.118,Ing,1
506.257,Autre,2
518.984,Noview,3
525.31,Ing,1
663.238,Autre,2
676.366,Ing,1
682.568,Autre,2
699.919,Ing,1
829.162,Autre,2
840.938,Ing,1
895.145,Autre,2
905.347,Ing,1
1222.836,Autre,2
1225.511,Noview,3
1242.262,Ing,1
1268.917,Autre,2
1280.394,Ing,1
1396.086,Autre,2
1409.687,Ing,1
1414.013,Autre,2
1426.689,Ing,1
1436.791,Autre,2
1465.646,Ing,1
1771.238,Noview,3
1781.263,Ing,1
1798.613,Noview,3
1800.587,END,0
