time,code,class
0,autre,2
7.402,ing,1
31.73,autre,2
40.58,noview,3
57.005,autre,2
59.93,ing,1
63.18,autre,2
76.381,noview,3
91.358,ing,1
108.485,autre,2
130.463,ing,1
150.613,autre,2
173.439,ing,1
188.617,autre,2
199.568,ing,1
231.421,autre,2
263.52,ing,1
297.775,autre,2
315.976,ing,1
325.277,autre,2
340.529,ing,1
417.086,autre,2
455.865,ing,1
498.044,autre,2
596.455,noview,3
613.282,ing,1
637.233,autre,2
658.111,noview,3
671.587,ing,1
686.839,autre,2
699.191,ing,1
705.916,autre,2
725.519,ing,1
769.623,autre,2
788.4,noview,3
797.876,autre,2
801.901,ing,1
808.126,autre,2
820.226,ing,1
833.626,autre,2
845.951,ing,1
882.226,autre,2
889.355,noview,3
900.211,ing,1
903.829,autre,2
917.231,noview,3
919.907,autre,2
924.455,ing,1
946.232,autre,2
958.108,ing,1
977.682,noview,3
994.508,ing,1
1067.486,autre,2
1090.788,ing,1
1103.791,autre,2
1109.416,noview,3
1115.316,autre,2
1116.315,ing,1
1204.099,autre,2
1221.476,ing,1
1250.177,autre,2
1269.057,ing,1
1328.414,autre,2
1341.717,ing,1
1459.601,noview,3
1468.654,autre,2
1473.953,ing,1
1484.033,autre,2
1504.586,ing,1
1516.813,autre,2
1527.166,ing,1
1565.896,autre,2
1577.722,ing,1
1601.626,noview,3
1614.277,autre,2
