time,code,class
0,Ing,1
6.702,Autre,2
18.953,Ing,1
58.855,Noview,3
75.858,Ing,1
81.234,Autre,2
104.663,Ing,1
143.242,Autre,2
153.32,Ing,1
235.308,Autre,2
254.058,Noview,3
271.161,Autre,2
276.486,Noview,3
288.963,Autre,2
294.437,Ing,1
317.518,Autre,2
328.543,Noview,3
369.928,Autre,2
390.109,Ing,1
445.92,Noview,3
536.878,Ing,1
590.535,Noview,3
609.486,Ing,1
671.144,Autre,2
682.62,Ing,1
721.351,Autre,2
745.678,Ing,1
765.958,Autre,2
802.412,Noview,3
819.292,Autre,2
823.617,Ing,1
833.544,Autre,2
843.595,Ing,1
875.226,Autre,2
890.576,Ing,1
917.231,Autre,2
924.185,Noview,3
952.485,Autre,2
957.011,Noview,3
980.463,Autre,2
988.389,Noview,3
991.417,Autre,2
992.492,Ing,1
1008.519,Autre,2
1025.122,Ing,1
1039.875,Autre,2
1056.277,Ing,1
1075.457,Autre,2
1078.108,Noview,3
1079.458,Autre,2
1089.033,Ing,1
1098.011,Autre,2
1113.089,Ing,1
1136.094,Autre,2
1142.044,Noview,3
1148.221,Autre,2
1150.646,Ing,1
1174.325,Noview,3
1188.4,Ing,1
1195.377,Autre,2
1198.027,Noview,3
1207.752,Ing,1
1214.777,Autre,2
1228.303,Noview,3
1237.228,Ing,1
1253.581,Autre,2
1264.635,Ing,1
1274.386,Autre,2
1283.788,Noview,3
1300.739,Autre,2
1307.488,Noview,3
1314.514,Autre,2
1321.62,Noview,3
1326.396,Ing,1
1334.645,Autre,2
1338.097,Noview,3
1352.6,Ing,1
1362.401,Autre,2
1377.679,Ing,1
1388.507,Autre,2
1420.236,Ing,1
1440.663,Autre,2
1476.194,Ing,1
1524.278,Autre,2
