time,code,class
0,Ing,1
4.371,Autre,2
35.96,Ing,1
47.573,Autre,2
67.011,Ing,1
75.741,Autre,2
116.782,Ing,1
125.063,Autre,2
169.971,Ing,1
180.595,Autre,2
201.922,Ing,1
237.471,Autre,2
265.641,Ing,1
321.892,Autre,2
337.282,Ing,1
352.941,Autre,2
375.35,Ing,1
434.21,Autre,2
468.683,Ing,1
484.072,Autre,2
509.996,Ing,1
524.035,Autre,2
546.712,Ing,1
562.999,Autre,2
580.464,Ing,1
590.273,Autre,2
605.3,Ing,1
641.842,Autre,2
668.391,Ing,1
708.62,Autre,2
730.762,Ing,1
737.153,Autre,2
753.085,Ing,1
774.86,Autre,2
795.65,Ing,1
815.001,Autre,2
826.61,Ing,1
845.24,Autre,2
888.53,Ing,1
907.884,Autre,2
922.281,Ing,1
930.291,Autre,2
969.529,Ing,1
985.011,Autre,2
1006.251,Ing,1
1022.901,Autre,2
1056.204,Ing,1
1084.1,Autre,2
1130.9,Ing,1
1141.069,Autre,2
1156.191,Ing,1
1184.541,Autre,2
1219.191,Ing,1
1269.5,Autre,2
1307.3,Ing,1
1320.44,Noview,3
1392.17,Autre,2
1404.771,Ing,1
1425.56,Autre,2
1448.061,Ing,1
1469.12,Autre,2
1490.63,Ing,1
1514.931,Autre,2
1517.899,Noview,3
1546.969,Autre,2
1650.202,Ing,1
1669.64,Autre,2
1800.45,END,0
