time,code,class
0,Autre,2
2.75,Ing,1
60.261,Noview,3
74.121,Ing,1
181.94,Autre,2
189.589,Noview,3
205.969,Ing,1
226.041,Autre,2
251.96,Ing,1
310.101,Autre,2
321.981,Ing,1
374.81,Noview,3
387.141,Ing,1
401.54,Noview,3
442.04,Ing,1
447.529,Autre,2
454.821,Noview,3
459.679,Ing,1
528.621,Noview,3
544.549,Ing,1
558.949,Noview,3
572.179,Autre,2
579.65,Ing,1
680.179,Autre,2
700.79,Ing,1
826.341,Noview,3
875.931,Ing,1
951.259,Autre,2
965.031,Ing,1
1068.619,Autre,2
1081.131,Ing,1
1201.821,Autre,2
1216.22,Ing,1
1366.43,Autre,2
1384.789,Ing,1
1473.62,Noview,3
1485.951,Ing,1
1523.48,Autre,2
1540.581,Ing,1
1615.37,Autre,2
1630.94,Ing,1
1646.241,Noview,3
1661.72,Ing,1
1781.511,Autre,2
1797.441,Ing,1
1800.9,END,0
