time,code,class
0,Ing,1
121.359,Noview,3
138.535,Ing,1
232.545,Autre,2
235.245,Noview,3
248.348,Autre,2
251.574,Ing,1
282.656,Autre,2
289.681,Noview,3
295.606,Autre,2
302.13,Ing,1
325.081,Autre,2
337.859,Ing,1
532.028,Autre,2
584.228,Noview,3
632.633,Autre,2
640.31,Ing,1
845.114,Autre,2
861.844,Ing,1
1279.291,Autre,2
1289.841,Ing,1
1378.102,Noview,3
1392.803,Ing,1
1428.409,Autre,2
1444.138,Ing,1
1505.271,Autre,2
1516.698,Ing,1
1524.324,Autre,2
1530.226,Noview,3
1542.051,Ing,1
1565.157,Autre,2
1578.958,Ing,1
1731.723,Autre,2
1737.123,Noview,3
1746.474,Ing,1
1780.482,Noview,3
1790.808,Ing,1
