time,code,class
0,Autre,2
7.611,Noview,3
28.13,Autre,2
194.951,Ing,1
224.78,Autre,2
233.42,Noview,3
236.119,Ing,1
251.511,Autre,2
274.28,Ing,1
311.09,Autre,2
322.7,Ing,1
358.881,Autre,2
374.72,Ing,1
388.85,Autre,2
1068.35,Noview,3
1124.06,Autre,2
1147.101,Ing,1
1174.369,Autre,2
1178.69,Noview,3
1186.52,Autre,2
1193,Ing,1
1213.611,Autre,2
1226.121,Ing,1
1254.739,Noview,3
1270.941,Ing,1
1297.761,Autre,2
1300.73,Noview,3
1309.37,Ing,1
1390.1,Autre,2
1404.77,Noview,3
1411.521,Ing,1
1430.871,Autre,2
1481.27,Ing,1
1492.879,Autre,2
1499.09,Noview,3
1504.04,Ing,1
1618.7,Autre,2
1620.319,Noview,3
1636.7,Ing,1
1710.861,Autre,2
1723.28,Ing,1
1744.7,Autre,2
1760.361,Ing,1
1784.661,Noview,3
1801.35,END,0
